,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
264,0.0005590477840566,3.627473242353836e-06,0.0001563006206627,0.00333240276803,0.0004692714143196,TFs_and_others_BCL11B,150.0
1174,0.0047971586228224,1.5233279356832895e-06,5.20540452845065e-05,0.0018768732372246,0.0001927391794543,TFs_and_others_NELFE,284.0
283,0.0002151754450903,3.5933177725755297e-06,4.76665187956437e-05,0.002054613709548,0.0002336543102661,TFs_and_others_SMAD3,405.0
545,0.0007755155987292,1.4615961672171626e-06,2.5057372560896024e-05,0.0014655995100003,0.000249860315277,TFs_and_others_ATF7,489.0
346,0.0024653710000224,5.128344515255565e-07,1.5736116388789272e-05,0.0016036002343542,0.0007338386048952,TFs_and_others_KDM4A,496.0
392,0.0008136178620024,1.488360901922534e-07,2.4896747699253884e-05,0.0024972127365594,9.124244008640524e-05,RNA_polymerase_GTF3C1,548.0
641,0.002676851773424,1.199494106253819e-07,9.427833172111016e-05,0.0012858360538678,0.0001907364498419,TFs_and_others_ETV6,578.0
1008,0.0002202099430547,3.197896021947006e-06,4.6501765319505625e-05,0.002287435619931,3.014668817316876e-05,TFs_and_others_NEUROD1,629.0
1484,0.0014016081670037,9.40103011283892e-08,8.423867359493203e-06,0.0024680018288636,0.0004349193882555,TFs_and_others_TOX4,640.0
338,0.0006511885411532,3.596160519285853e-07,3.423717951059745e-05,0.0014673084523846,6.123640687124803e-05,Histone_H3K23ac,676.0
1499,0.0006171587733464,2.523677527208444e-07,1.358082258249078e-05,0.0014838246374076,0.0003555218239829,Histone_H2A.XS139ph,691.0
263,0.0006974775297267,6.656683528648692e-07,1.0135185659838376e-05,0.0021571295374013,6.772605932988127e-05,TFs_and_others_FGFR1,695.0
904,0.0003149288409378,8.25104013707524e-07,1.532865804622006e-05,0.001613954307852,9.09097941150564e-05,TFs_and_others_TFDP1,714.0
39,0.0003447165741661,1.188898487476705e-06,6.558022046506689e-05,0.0041836155987578,1.0365032281030311e-05,TFs_and_others_Crotonyllysine,717.0
