,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
648,0.0180722980869912,0.0003339462007322,0.009857749741479,0.0190127968229109,0.0172176211115856,RNA_polymerase_RNA polymerase II,19.0
315,0.0474596336978075,0.0003221932383352,0.006542119402659,0.0174507530748454,0.012556955758536,Histone_H3K4me1,20.0
1543,0.0163784520932357,0.0001686756579622,0.0035414893184275,0.0219259021138269,0.005306021996378,Histone_H3K9me3,38.0
442,0.0227628806118194,5.833414522177364e-05,0.0050308241513594,0.008479843623007,0.0101962287413366,TFs_and_others_MYC,50.0
618,0.011903437513009,0.0001438394056755,0.0044066153995434,-0.0005198963262131,0.0033598557611801,TFs_and_others_CDYL2,78.0
229,0.0062504538443361,0.0001074015952077,0.0040004279694765,0.0004217101363357,0.0041111646740023,TFs_and_others_ESR1,86.0
1140,0.0086321208478671,6.694283860468126e-05,0.0020663954885794,0.0026497922992927,0.0039509624388387,TFs_and_others_RUNX1,97.0
1495,0.0058596548085975,0.0001639955139048,0.0039658803095238,0.0005219584360856,0.0015990103678123,Histone_H3K18ac,120.0
1332,0.0057400403633591,7.041576715459905e-05,0.0021453881355476,0.0008906404659476,0.0029871485904717,TFs_and_others_MAX,121.0
626,0.0066493507482142,0.0001205780082515,0.0013302417699991,-0.0009279211082596,0.0040813393972222,Histone_H3K122ac,124.0
406,0.0063304960215969,6.059231986388845e-05,0.0010168330739706,0.0040842083501308,0.0022036587131263,TFs_and_others_ERG,150.0
1057,0.0056662395097754,9.274678647466643e-05,0.0003903487155192,0.0025156720234343,0.0035559045053324,TFs_and_others_ASCL1,178.0
1314,0.0045682884733326,2.532721750213568e-05,0.0014101314379424,-0.0003857628716685,0.0028280032075954,TFs_and_others_BRD2,192.0
90,0.005136898295981,6.104656606293047e-05,0.0010073806721052,-0.0010952941991587,0.0016777234826985,Histone_H2AK119Ub,211.0
698,0.0245346838653605,2.971782144986427e-06,0.0304256728653649,0.0301300387293431,0.0257640298483033,Histone_H3K27ac,238.0
1687,0.0035703568936606,8.958335416492327e-05,0.0008078393034022,-0.0009237523559983,0.0010200112008076,TFs_and_others_BHLHE40,247.0
1777,0.0017642129180083,4.3690468539400295e-05,0.0012053411334356,-0.0005278871414855,0.0015593636051118,TFs_and_others_HDAC1,247.0
554,0.0089254008151602,8.682523059335345e-05,0.0023112137069009,-0.0015192632438291,0.0036165122963025,TFs_and_others_HIF1A,326.0
327,0.0030088824325867,1.3822451764089116e-05,0.0004467370664615,0.0002085987352007,0.001193734204172,TFs_and_others_SPI1,327.0
831,0.0051265687065885,9.147952780113472e-06,0.0003227815498993,-0.0008298072492048,0.0021439631510274,TFs_and_others_KDM6A,337.0
718,0.0104626031669641,2.0114077001877792e-05,0.0001693355893169,-0.0006714474213073,0.0008750813583676,TFs_and_others_ZBTB26,354.0
1388,0.0013508532227243,2.6001138949218536e-05,0.000479752305468,-7.933766507343783e-05,0.0009112592250109,Histone_H3.3,357.0
1306,0.0050285940264264,5.479176144232567e-06,0.0007113126795519,-0.0011761722708214,0.002045329650919,RNA_polymerase_POLR2A,363.0
370,0.002175636008078,4.163391137341439e-05,0.0002778366133896,-0.0012647756822391,0.0007491329417517,TFs_and_others_SREBF2,405.0
101,0.0017518546164546,3.611251401362996e-05,0.0002473791921779,-0.0011898511883761,0.0002922452359028,TFs_and_others_RUNX2,483.0
1570,0.0065197719923531,3.5188315028736986e-05,0.0006182977732377,-0.0015780470212304,0.0010651981402392,TFs_and_others_KDM5B,536.0
75,0.0028891339023499,3.729864046789392e-05,3.3351602860177645e-05,-0.0014110382666403,0.0017101851846951,TFs_and_others_KLF3,648.0
1166,0.0003409367279127,3.427400240672886e-05,0.0002591721769104,-0.0013675294378942,0.0004262359431097,TFs_and_others_SKI,652.0
1663,0.0029692325385511,6.6671089366904575e-06,0.0001827474309035,-0.0015280098028722,0.0017439854582593,TFs_and_others_STAG1,671.0
